name,thirty_day_average_price,thirty_day_change,thirty_day_difference,thirty_day_sales,thirty_day_volume
Peter Tarka Open Editions,0.010394864113785556,0,4.750452899999999,457,4.750452899999999
Reuben Wu - Open Editions,0.08556963636363635,0,4.7063299999999995,55,4.7063299999999995
Llamaverse Genesis,1.3621522751034478,0.39213677011500436,55.63515793089999,145,197.51207988999994
Netvrk Land,0.2997023350973362,0.3053784583575195,10.937465138684452,156,46.753564275184445
Adam Bomb Squad,0.22625036811565186,-0.4690367309047587,-61.55770026804238,308,69.68511337962077
Beer BearsNFT,0.2857411314784593,0,4.571858103655349,16,4.571858103655349
Nannda Prophet,0.13424358235880068,14.097302575305848,18.552050189102502,148,19.8680501891025
Treeverse,0.8624895966702076,-0.12261903617379546,-28.205864379171373,234,201.82256562082858
Gh0stly Gh0sts,0.2652412701298699,3.772847873397629,96.86676061818171,462,122.54146679999991
XANA:  LAND,0.6225414021739129,0.7606820977374308,24.74447898999997,92,57.27380899999998
Momentum Official,1.2134866666666673,-0.07361500726313794,-3.760749999999966,39,47.32598000000002
Grados,0.07360240380704665,0,43.867032668999805,596,43.867032668999805
Silks Thoroughbred Racehorses,0.3566681064936255,0.17089472227303726,5.882386033779667,113,40.30349603377968
Enter the Hashverse,0.06329463889830501,-0.3490859080540696,-8.011015519999976,236,14.937534779999982
Wojakians,0.5995953757225418,171.8833333333329,103.12999999999974,173,103.72999999999973
Paji's Project Ticket,0.02126636791981132,0,4.508469999,212,4.508469999
Applied Primate Keycard,0.9907448127379525,-0.5903170466165898,-473.9552319569681,332,328.9272778290002
Memes For The People by Ozark,0.011378259988016268,0,69.12292942719883,6075,69.12292942719883
10K World Cup,0.0380599982046678,-0.06528979786146223,-1.480785999899993,557,21.199418999999963
Ether Name Service,0.07575176470588235,0.8272214536554234,2.332020000000002,68,5.15112
Champions Ascension - Elemental Eternal,0.06313960894671285,0,210.19175818360708,3329,210.19175818360708
Acrocalypse,0.22698511335403732,-0.6952045685760682,-166.70837234999985,322,73.08920650000002
UDID Network Genesis Pass Card,0.80556,339.4733727810651,4.01597,5,4.0278
Nannda Spellbook of Genesis,0.1564067954545455,10.194730493725443,12.534309000000002,88,13.763798000000003
FaTPass,0.04035031245882623,0,19.327799667777764,479,19.327799667777764
YuGiYn,0.3013596904608407,0.05825780945606814,14.615838589491801,881,265.49788729600067
X Punks Onchain,0.010743320456989227,0,3.9965152099999925,372,3.9965152099999925
The Baby Bears,4.19,0.9919655803560818,4.173100000000001,2,8.38
MAX PAIN AND FRENS BY XCOPY,0.8531629895637581,-0.40390751507453376,-172.27273893107542,298,254.2425708899999
OvO-Oswap Official NFT,0.6618333333333333,0,3.9709999999999996,6,3.9709999999999996
end of sartoshi,0.07537921177381916,-0.4527322497584728,-135.2548101953729,2169,163.49751033741376
Ape Hater Club,0.1664015417845318,-0.24548088495010306,-42.769273258220096,790,131.45721800978012
KPR,0.1935655810261064,-0.25812240998709796,-102.36822719162694,1520,294.2196831596817
gmDAO token,4.1653714285714285,0.48913318267131417,38.3094,28,116.6304
LaserCat NFT,4.731066666666666,0.9051275167785233,33.715999999999994,15,70.966
The Legend of CØCKPUNCH™,0.514365007310504,-0.9588129584845826,-5472.186785656428,457,235.06480834090033
Ape Reunion,0.16144160696689044,2.4961892845306144,118.49258216196436,1028,165.96197196196337
Tenset TGLP Genesis,3.2848750000000004,-0.3910138684025439,-16.873049999999992,8,26.279000000000003
VeeFriends Iconics,0.8635563985620919,11.481484674005564,121.53851898000005,153,132.12412898000005
PPAPE-American Gothic,0.22855312499999997,14.028356552829493,3.4135199999999997,16,3.6568499999999995
CH WAGMI,0.6053333333333334,223.2529019510991,3.6158040000000007,6,3.6320000000000006
Decagon by Golid and Deca,0.026956882963403466,0.7166742191245177,12.30052737789999,1093,29.46387307899999
Cryptoon Goonz,0.4309126600193796,0.19709537241557343,18.3044479461159,258,111.17546628499994
10KTF Combat Gear,0.4014937142857144,-0.13913157005386909,-11.355485410000028,175,70.26140000000002
Origins by Avium,0.21483795251606494,0,269.19195450262936,1253,269.19195450262936
Wonky Stonks,0.34234721948005986,0.9548505099759956,222.2355940371759,1329,454.97945468899957
DigiDaigaku Villains,0.2515509607843138,0,12.829099000000005,51,12.829099000000005
Deadfellaz,0.7749328691210827,-0.43221773104181177,-153.37627401452755,260,201.4825459714815
Hidden Kitten City,0.06361914473684212,0.7342284743805193,4.094080000000005,152,9.670110000000003
MurMur Cats,4.615833333333334,-0.440131805041745,-21.772,6,27.695
Snow Bears,0.016441277250470777,0,4.850176788888879,295,4.850176788888879
Nuclear Nerds of the Accidental Apocalypse,0.20488955664488018,-0.160036842293907,-10.618140382592642,272,55.72995940740741
Cel Mates by Mcbess,0.19737188792462446,-0.7842696288426398,-238.93712582010093,333,65.72483867889994
This is Nouns,0.035889647970412934,-0.9461712232874929,-427.71464160728686,678,24.333181323939968
FreeNFT.xyz Daily Cargo,0.04503966008754872,-0.18055597254412586,-10.201893454228603,1028,46.30077057000008
Wilder World,0.8312950881372552,-0.14096881618727647,-13.91456101,102,84.79209899000003
HELIX Founder Pass Official,0.33942745792899376,-0.7263334299178352,-304.49345077961584,338,114.72648077999989
Psychedelics Anonymous Genesis,0.41576951003324086,-0.41460931802882284,-106.30485334649998,361,150.09279312199996
Primera by Mitchell and Yun,2.6206815789473685,-0.19480999353169468,-12.047049999999999,19,49.792950000000005
Perpetual Protocol NFT,0.845,0,3.38,4,3.38
Boots By Jeremy Booth,0.05578970931884229,0,264.3874324619936,4739,264.3874324619936
GORJS DAO Genesis Pass: FKWME,0.24402672606445652,0,132.5065122529999,543,132.5065122529999
Skybrook,0.9735923320671968,0,265.7907066543447,273,265.7907066543447
adidas Originals Into the Metaverse,0.30990475334593603,-0.23401731989891053,-40.901669565566664,432,133.87885344544438
Voxies,0.4421940965909092,-0.07262033764146464,-6.094334735339444,176,77.82616100000001
